region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,quantity_per_household,seed,unit
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOY-F-153556-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JEN-F-141636-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGN-F-143711-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ADR-F-161209-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGN-F-143330-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGA-F-094732-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ROS-F-100128-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-STE-F-143412-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAJ-F-104927-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-EDI-F-153058-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JAN-F-144345-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-IRE-F-104342-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-FAU-F-102319-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MID-F-104452-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAB-F-151301-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-LEO-F-133654-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-HOP-F-091040-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOY-F-153556-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JEN-F-141636-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGN-F-143711-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ADR-F-161209-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGN-F-143330-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-AGA-F-094732-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ROS-F-100128-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-STE-F-143412-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAJ-F-104927-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-EDI-F-153058-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JAN-F-144345-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GEO-M-130451-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-FRE-M-144634-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ROB-M-154842-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAT-M-160018-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAT-M-170947-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOH-M-115823-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JAC-M-155642-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JER-M-154115-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MUR-M-151203-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ALE-M-132815-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DIS-M-165429-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DID-M-142107-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DAV-M-162648-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-EDM-M-113045-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GEO-M-130451-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-FRE-M-144634-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-GOD-M-165522-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ROB-M-154842-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAT-M-160018-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MAT-M-170947-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JOH-M-115823-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JAC-M-155642-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-JER-M-154115-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-MUR-M-151203-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-ALE-M-132815-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DIS-M-165429-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DID-M-142107-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-DAV-M-162648-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Nyabwina_Buhanda,2025,A,KIT-NYA-EDM-M-113045-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-ANN-F-140209-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-SAM-M-113153-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-NIC-M-160729-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-WIL-M-105938-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-AMO-M-131350-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-DON-M-111919-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-JUL-M-131447-15,4.0,Beans,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-ANN-F-140209-15,3.0,Maize,Kgs
South West,Kitagwenda,Bujumiro,Kyarubingo,2025,A,KIT-KYA-SAM-M-113153-15,3.0,Maize,Kgs
