region_name,district_name,cluster_name,village_name,cohort,cycle,household_id,total_quantity,variety
South West,Kitagwenda,Muyenga,Nganiko_2,2025,A,KIT-NGA-FRE-M-093705-15,1,Spinach
South West,Kitagwenda,Muyenga,Nganiko_2,2025,A,KIT-NGA-FRE-M-093705-15,1,Sukuma Wiki
South West,Kitagwenda,Muyenga,Nganiko_2,2025,A,KIT-NGA-FRE-M-093705-15,2,Tomatoes
South West,Kitagwenda,Muyenga,Nganiko_2,2025,A,KIT-NGA-FRE-M-093705-15,1,White Eggplants
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Amaranths
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Black night shade
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Cabbage
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Green Pepper
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Nakati
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Spinach
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,Sukuma Wiki
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,2,Tomatoes
South West,Kitagwenda,Muyenga,Nganiko_3,2025,A,KIT-NGA-MAR-M-111229-15,1,White Eggplants
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Amaranths
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Black night shade
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Cabbage
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Green Pepper
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Nakati
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Spinach
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,Sukuma Wiki
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,2,Tomatoes
South West,Kitagwenda,Muyenga,Zanzibar,2025,A,KIT-ZAN-JOH-M-132754-15,1,White Eggplants
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,African spider Plant
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,Amaranths
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,3,Cabbage
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,Green Pepper
Central,Rakai,Kasensero,Nabyala,2025,A,RAK-NAB-SSE-M-091415-18,1,Nakati
